methodology,signal_name,decision_flips,total_turns_present,flip_rate,impact_class,top_flip_pattern
critical_incident,graph.max_depth,10,40,0.25,load-bearing,extract_insights→probe_attributions (5x)
critical_incident,graph.node.exhaustion_score.low,0,33,0.0,decorative,
critical_incident,graph.node.focus_streak.high,2,33,0.0606,moderate,explore_emotions→explore_emotions (1x)
critical_incident,graph.node.focus_streak.low,0,22,0.0,decorative,
critical_incident,graph.node.focus_streak.medium,2,25,0.08,moderate,explore_emotions→explore_emotions (1x)
critical_incident,graph.node.focus_streak.none,0,3,0.0,decorative,
critical_incident,graph.node.has_outgoing.true,0,26,0.0,decorative,
critical_incident,graph.node.recency_score,0,4,0.0,decorative,
critical_incident,llm.certainty.high,12,40,0.3,load-bearing,probe_attributions→explore_emotions (7x)
critical_incident,llm.certainty.low,4,40,0.1,load-bearing,validate→revitalize (1x)
critical_incident,llm.certainty.mid,4,40,0.1,load-bearing,explore_emotions→explore_emotions (1x)
critical_incident,llm.engagement.high,6,40,0.15,load-bearing,probe_attributions→probe_attributions (4x)
critical_incident,llm.engagement.low,7,40,0.175,load-bearing,validate→extract_insights (2x)
critical_incident,llm.engagement.mid,3,40,0.075,moderate,explore_emotions→explore_emotions (1x)
critical_incident,llm.global_response_trend.fatigued,2,40,0.05,moderate,explore_emotions→explore_emotions (1x)
critical_incident,llm.global_response_trend.shallowing,2,40,0.05,moderate,explore_emotions→explore_emotions (1x)
critical_incident,llm.intellectual_engagement.high,6,40,0.15,load-bearing,probe_attributions→explore_emotions (3x)
critical_incident,llm.intellectual_engagement.mid,5,40,0.125,load-bearing,probe_attributions→explore_emotions (3x)
critical_incident,llm.response_depth.deep,6,40,0.15,load-bearing,probe_attributions→explore_emotions (2x)
critical_incident,llm.response_depth.moderate,3,40,0.075,moderate,explore_emotions→explore_emotions (1x)
critical_incident,llm.response_depth.shallow,2,40,0.05,moderate,explore_emotions→explore_emotions (1x)
critical_incident,llm.response_depth.surface,2,40,0.05,moderate,explore_emotions→explore_emotions (1x)
critical_incident,llm.specificity.high,5,40,0.125,load-bearing,deepen_narrative→explore_emotions (2x)
critical_incident,llm.specificity.low,2,40,0.05,moderate,explore_emotions→explore_emotions (1x)
critical_incident,llm.specificity.mid,2,40,0.05,moderate,explore_emotions→explore_emotions (1x)
critical_incident,llm.valence.high,2,40,0.05,moderate,explore_emotions→explore_emotions (1x)
critical_incident,llm.valence.low,4,40,0.1,load-bearing,explore_emotions→probe_attributions (2x)
critical_incident,llm.valence.mid,2,40,0.05,moderate,explore_emotions→explore_emotions (1x)
critical_incident,meta.canonical.saturation,2,40,0.05,moderate,explore_emotions→explore_emotions (1x)
critical_incident,meta.conversation.saturation,4,40,0.1,load-bearing,validate→revitalize (2x)
critical_incident,temporal.strategy_repetition_count,2,40,0.05,moderate,explore_emotions→probe_attributions (1x)
critical_incident,temporal.strategy_repetition_count.high,2,40,0.05,moderate,explore_emotions→explore_emotions (1x)
critical_incident,temporal.turns_since_strategy_change,4,40,0.1,load-bearing,validate→revitalize (2x)
customer_journey_mapping,graph.max_depth,10,40,0.25,load-bearing,compare_expectations→compare_expectations (5x)
customer_journey_mapping,graph.node.exhaustion_score.low,1,30,0.0333,moderate,compare_expectations→compare_expectations (1x)
customer_journey_mapping,graph.node.focus_streak.high,6,30,0.2,load-bearing,compare_expectations→compare_expectations (5x)
customer_journey_mapping,graph.node.focus_streak.low,3,23,0.1304,load-bearing,compare_expectations→compare_expectations (3x)
customer_journey_mapping,graph.node.focus_streak.medium,6,30,0.2,load-bearing,compare_expectations→compare_expectations (5x)
customer_journey_mapping,graph.node.focus_streak.none,0,7,0.0,decorative,
customer_journey_mapping,graph.node.has_outgoing.true,1,21,0.0476,moderate,compare_expectations→compare_expectations (1x)
customer_journey_mapping,graph.node.is_orphan.true,0,2,0.0,decorative,
customer_journey_mapping,graph.node.recency_score,0,2,0.0,decorative,
customer_journey_mapping,llm.certainty.high,17,40,0.425,load-bearing,compare_expectations→compare_expectations (9x)
customer_journey_mapping,llm.certainty.low,7,40,0.175,load-bearing,compare_expectations→compare_expectations (5x)
customer_journey_mapping,llm.certainty.mid,7,40,0.175,load-bearing,compare_expectations→compare_expectations (5x)
customer_journey_mapping,llm.engagement.high,13,40,0.325,load-bearing,compare_expectations→compare_expectations (8x)
customer_journey_mapping,llm.engagement.low,8,40,0.2,load-bearing,compare_expectations→compare_expectations (5x)
customer_journey_mapping,llm.engagement.mid,6,40,0.15,load-bearing,compare_expectations→compare_expectations (5x)
customer_journey_mapping,llm.global_response_trend.fatigued,6,40,0.15,load-bearing,compare_expectations→compare_expectations (5x)
customer_journey_mapping,llm.global_response_trend.shallowing,8,40,0.2,load-bearing,compare_expectations→compare_expectations (5x)
customer_journey_mapping,llm.intellectual_engagement.high,10,40,0.25,load-bearing,compare_expectations→compare_expectations (6x)
customer_journey_mapping,llm.intellectual_engagement.mid,10,40,0.25,load-bearing,compare_expectations→compare_expectations (6x)
customer_journey_mapping,llm.response_depth.deep,15,40,0.375,load-bearing,compare_expectations→compare_expectations (7x)
customer_journey_mapping,llm.response_depth.moderate,8,40,0.2,load-bearing,compare_expectations→compare_expectations (6x)
customer_journey_mapping,llm.response_depth.shallow,6,40,0.15,load-bearing,compare_expectations→compare_expectations (5x)
customer_journey_mapping,llm.response_depth.surface,6,40,0.15,load-bearing,compare_expectations→compare_expectations (5x)
