methodology,signal_name,classification,weight,total_observations,times_nonzero_value,times_nonzero_contribution,max_abs_contribution,mean_abs_contribution,fire_rate,discrimination_rate,total_turns_seen,turns_with_variance,n_strategies_using
critical_incident,graph.max_depth,CONSTANT,0.4,80,80,80,0.4,0.31375,1.0,0.0,40,0,2
critical_incident,graph.node.exhaustion_score.low,ACTIVE,0.4,1094,1081,1081,0.4,0.309049,0.9881,0.3939,33,13,4
critical_incident,graph.node.focus_streak.high,DEAD,-0.6,1094,0,0,0.0,0.0,0.0,0.0,33,0,4
critical_incident,graph.node.focus_streak.low,ACTIVE,0.5,560,13,13,0.4,0.009286,0.0232,0.4545,22,10,2
critical_incident,graph.node.focus_streak.medium,ACTIVE,-0.3,668,15,15,0.4,0.007784,0.0225,0.52,25,13,3
critical_incident,graph.node.focus_streak.none,ACTIVE,0.4,108,102,102,0.4,0.377778,0.9444,1.0,3,3,1
critical_incident,graph.node.has_outgoing.true,ACTIVE,0.5,939,469,469,0.6,0.273056,0.4995,1.0,26,26,2
critical_incident,graph.node.recency_score,DEAD,0.4,47,0,0,0.0,0.0,0.0,0.0,4,0,1
critical_incident,llm.certainty.high,ACTIVE,0.7,80,52,52,0.7,0.3575,0.65,0.65,40,26,2
critical_incident,llm.certainty.low,ACTIVE,0.4,80,16,16,0.8,0.12,0.2,0.2,40,8,2
critical_incident,llm.certainty.mid,ACTIVE,0.5,120,18,18,0.6,0.07,0.15,0.15,40,6,3
critical_incident,llm.engagement.high,ACTIVE,0.2,240,186,186,0.5,0.284167,0.775,0.775,40,31,6
critical_incident,llm.engagement.low,ACTIVE,-0.5,240,36,36,0.8,0.0775,0.15,0.15,40,6,6
critical_incident,llm.engagement.mid,ACTIVE,0.4,240,18,18,0.4,0.02125,0.075,0.075,40,3,6
critical_incident,llm.global_response_trend.fatigued,ACTIVE,-0.5,80,4,4,1.0,0.0375,0.05,0.05,40,2,2
critical_incident,llm.global_response_trend.shallowing,ACTIVE,-0.3,120,24,24,0.5,0.073333,0.2,0.2,40,8,3
critical_incident,llm.intellectual_engagement.high,CONSTANT,0.5,80,36,36,0.5,0.225,0.45,0.0,40,0,2
critical_incident,llm.intellectual_engagement.mid,CONSTANT,0.3,80,22,22,0.3,0.0825,0.275,0.0,40,0,2
critical_incident,llm.response_depth.deep,ACTIVE,0.2,160,68,68,0.5,0.138125,0.425,0.425,40,17,4
critical_incident,llm.response_depth.moderate,ACTIVE,0.2,200,85,85,0.3,0.1105,0.425,0.425,40,17,5
critical_incident,llm.response_depth.shallow,ACTIVE,0.4,80,4,4,0.4,0.0175,0.05,0.05,40,2,2
critical_incident,llm.response_depth.surface,CONSTANT,0.5,40,4,4,0.5,0.05,0.1,0.0,40,0,1
critical_incident,llm.specificity.high,ACTIVE,0.3,80,40,40,0.4,0.175,0.5,0.5,40,20,2
critical_incident,llm.specificity.low,CONSTANT,0.7,40,12,12,0.7,0.21,0.3,0.0,40,0,1
critical_incident,llm.specificity.mid,CONSTANT,0.3,40,8,8,0.3,0.06,0.2,0.0,40,0,1
critical_incident,llm.valence.high,ACTIVE,0.3,80,12,12,0.7,0.075,0.15,0.15,40,6,2
critical_incident,llm.valence.low,ACTIVE,0.7,80,52,52,0.7,0.3575,0.65,0.65,40,26,2
critical_incident,llm.valence.mid,CONSTANT,0.2,40,8,8,0.2,0.04,0.2,0.0,40,0,1
critical_incident,meta.canonical.saturation,CONSTANT,0.3,80,80,80,0.03,0.0165,1.0,0.0,40,0,2
critical_incident,meta.conversation.saturation,ACTIVE,0.4,80,80,80,0.11835,0.076909,1.0,1.0,40,40,2
critical_incident,temporal.strategy_repetition_count,ACTIVE,-0.7,280,252,252,0.64,0.216857,0.9,0.9,40,36,7
critical_incident,temporal.strategy_repetition_count.high,ACTIVE,0.0,280,28,8,0.5,0.014286,0.1,0.1,40,4,7
critical_incident,temporal.turns_since_strategy_change,CONSTANT,-0.5,40,32,32,0.4,0.1225,0.8,0.0,40,0,1
customer_journey_mapping,graph.max_depth,CONSTANT,0.3,40,40,40,0.3,0.243214,1.0,0.0,40,0,1
customer_journey_mapping,graph.node.exhaustion_score.low,ACTIVE,0.4,911,901,901,0.5,0.388913,0.989,0.2333,30,7,5
customer_journey_mapping,graph.node.focus_streak.high,DEAD,-0.6,911,0,0,0.0,0.0,0.0,0.0,30,0,5
customer_journey_mapping,graph.node.focus_streak.low,ACTIVE,0.4,759,14,14,0.5,0.00751,0.0184,0.5217,23,12,2
customer_journey_mapping,graph.node.focus_streak.medium,ACTIVE,-0.3,911,27,27,0.4,0.011196,0.0296,0.5333,30,16,5
customer_journey_mapping,graph.node.focus_streak.none,ACTIVE,0.6,152,148,148,0.6,0.406579,0.9737,0.4286,7,3,3
customer_journey_mapping,graph.node.has_outgoing.true,ACTIVE,0.4,699,464,464,0.4,0.265522,0.6638,1.0,21,21,1
customer_journey_mapping,graph.node.is_orphan.true,DEAD,0.7,32,0,0,0.0,0.0,0.0,0.0,2,0,2
customer_journey_mapping,graph.node.recency_score,ACTIVE,0.3,60,3,3,0.3,0.01475,0.05,1.0,2,2,1
customer_journey_mapping,llm.certainty.high,CONSTANT,0.5,40,30,30,0.5,0.375,0.75,0.0,40,0,1
customer_journey_mapping,llm.certainty.low,ACTIVE,0.3,80,10,10,0.8,0.06875,0.125,0.125,40,5,2
customer_journey_mapping,llm.certainty.mid,ACTIVE,0.3,120,15,15,0.6,0.054167,0.125,0.125,40,5,3
customer_journey_mapping,llm.engagement.high,ACTIVE,0.3,240,156,156,0.4,0.2275,0.65,0.65,40,26,6
customer_journey_mapping,llm.engagement.low,ACTIVE,-0.4,240,36,36,0.8,0.0725,0.15,0.15,40,6,6
customer_journey_mapping,llm.engagement.mid,ACTIVE,0.4,240,48,48,0.4,0.06,0.2,0.2,40,8,6
customer_journey_mapping,llm.global_response_trend.fatigued,ACTIVE,-0.5,80,4,4,1.0,0.0375,0.05,0.05,40,2,2
customer_journey_mapping,llm.global_response_trend.shallowing,ACTIVE,-0.3,120,21,21,0.5,0.064167,0.175,0.175,40,7,3
customer_journey_mapping,llm.intellectual_engagement.high,CONSTANT,0.4,40,17,17,0.4,0.17,0.425,0.0,40,0,1
customer_journey_mapping,llm.intellectual_engagement.mid,CONSTANT,0.3,80,16,16,0.3,0.06,0.2,0.0,40,0,2
customer_journey_mapping,llm.response_depth.deep,CONSTANT,0.3,80,42,42,0.3,0.1575,0.525,0.0,40,0,2
customer_journey_mapping,llm.response_depth.moderate,ACTIVE,0.2,200,55,55,0.3,0.066,0.275,0.275,40,11,5
customer_journey_mapping,llm.response_depth.shallow,ACTIVE,0.5,120,21,21,0.5,0.064167,0.175,0.175,40,7,3
