turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,unknown,ascend,slot_4cece7f19228,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ascend,slot_0e96f81fbf58,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ascend,slot_d944de26b050,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ascend,slot_66bb8d27e08a,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ascend,slot_3e108fa962f8,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ground,slot_4cece7f19228,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,ground,slot_0e96f81fbf58,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,ground,slot_d944de26b050,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,ground,slot_66bb8d27e08a,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,ground,slot_3e108fa962f8,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,bridge,slot_4cece7f19228,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.level.skip
1,unknown,bridge,slot_0e96f81fbf58,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.level.skip
1,unknown,bridge,slot_d944de26b050,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.level.skip
1,unknown,bridge,slot_66bb8d27e08a,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.level.skip
1,unknown,bridge,slot_3e108fa962f8,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.level.skip
1,unknown,branch,slot_4cece7f19228,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.branching_deficit
1,unknown,branch,slot_0e96f81fbf58,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.branching_deficit
1,unknown,branch,slot_d944de26b050,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.branching_deficit
1,unknown,branch,slot_66bb8d27e08a,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.branching_deficit
1,unknown,branch,slot_3e108fa962f8,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.branching_deficit
1,unknown,anchor,slot_4cece7f19228,,convgraph.node.is_orphan.true,True,0.5,0.5,1.2,0.0,0.5,0.6,1,True,False,
1,unknown,anchor,slot_4cece7f19228,,convgraph.node.recency,0.0,0.2,0.0,1.2,0.0,0.5,0.6,1,True,False,
1,unknown,anchor,slot_4cece7f19228,,convgraph.node.exhaustion,0.0,-0.2,-0.0,1.2,0.0,0.5,0.6,1,True,False,
1,unknown,anchor,slot_4cece7f19228,,interview.strategy.self_count,0.0,-0.15,-0.0,1.2,0.0,0.5,0.6,1,True,False,
1,unknown,anchor,slot_0e96f81fbf58,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,anchor,slot_d944de26b050,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,anchor,slot_66bb8d27e08a,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,anchor,slot_3e108fa962f8,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
