turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,convgraph.node.chain.gap.above.true,True,0.5,0.5,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,convgraph.node.recency,0.0,0.3,0.0,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,convgraph.node.novelty.high,True,0.25,0.25,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,convgraph.node.focus.streak.none,True,0.3,0.3,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,convgraph.node.focus.count.none,True,0.2,0.2,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,convgraph.node.exhaustion,0.0,-0.6,-0.0,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,convgraph.node.focus.count.high,False,-0.4,0.0,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,convgraph.node.focus.count.medium,False,-0.2,0.0,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,convgraph.node.chain.has_attribute_foundation.true,True,0.35,0.35,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,convgraph.node.chain.has_attribute_foundation.false,False,-0.5,0.0,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,response.semantic.llm.engagement.low,False,-0.3,0.0,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5c0387aa-6c68-49c3-8fa2-068a5ceac8b0,Tuesday afternoon at work,interview.strategy.self_count,0.0,-0.15,-0.0,1.0,0.0,1.6,1.6,4,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,convgraph.node.chain.gap.above.true,False,0.5,0.0,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,convgraph.node.recency,0.0,0.3,0.0,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,convgraph.node.novelty.high,True,0.25,0.25,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,convgraph.node.focus.streak.none,True,0.3,0.3,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,convgraph.node.focus.count.none,True,0.2,0.2,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,convgraph.node.exhaustion,0.0,-0.6,-0.0,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,convgraph.node.focus.count.high,False,-0.4,0.0,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,convgraph.node.focus.count.medium,False,-0.2,0.0,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,convgraph.node.chain.has_attribute_foundation.true,True,0.35,0.35,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,convgraph.node.chain.has_attribute_foundation.false,False,-0.5,0.0,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,response.semantic.llm.engagement.low,False,-0.3,0.0,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,5724d3ce-8705-4b35-b4d2-38e3b1d7218f,feeling thirsty and wanting more than water or coffee,interview.strategy.self_count,0.0,-0.15,-0.0,1.0,0.0,1.1,1.1,16,False,False,
1,early,ascend,0a118099-a3fd-4c49-a3a1-c0f572596bf6,plain water or coffee feel insufficient,convgraph.node.chain.gap.above.true,False,0.5,0.0,1.0,0.0,1.1,1.1,17,False,False,
1,early,ascend,0a118099-a3fd-4c49-a3a1-c0f572596bf6,plain water or coffee feel insufficient,convgraph.node.recency,0.0,0.3,0.0,1.0,0.0,1.1,1.1,17,False,False,
1,early,ascend,0a118099-a3fd-4c49-a3a1-c0f572596bf6,plain water or coffee feel insufficient,convgraph.node.novelty.high,True,0.25,0.25,1.0,0.0,1.1,1.1,17,False,False,
1,early,ascend,0a118099-a3fd-4c49-a3a1-c0f572596bf6,plain water or coffee feel insufficient,convgraph.node.focus.streak.none,True,0.3,0.3,1.0,0.0,1.1,1.1,17,False,False,
1,early,ascend,0a118099-a3fd-4c49-a3a1-c0f572596bf6,plain water or coffee feel insufficient,convgraph.node.focus.count.none,True,0.2,0.2,1.0,0.0,1.1,1.1,17,False,False,
1,early,ascend,0a118099-a3fd-4c49-a3a1-c0f572596bf6,plain water or coffee feel insufficient,convgraph.node.exhaustion,0.0,-0.6,-0.0,1.0,0.0,1.1,1.1,17,False,False,
1,early,ascend,0a118099-a3fd-4c49-a3a1-c0f572596bf6,plain water or coffee feel insufficient,convgraph.node.focus.count.high,False,-0.4,0.0,1.0,0.0,1.1,1.1,17,False,False,
1,early,ascend,0a118099-a3fd-4c49-a3a1-c0f572596bf6,plain water or coffee feel insufficient,convgraph.node.focus.count.medium,False,-0.2,0.0,1.0,0.0,1.1,1.1,17,False,False,
1,early,ascend,0a118099-a3fd-4c49-a3a1-c0f572596bf6,plain water or coffee feel insufficient,convgraph.node.chain.has_attribute_foundation.true,True,0.35,0.35,1.0,0.0,1.1,1.1,17,False,False,
