turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,early,surface_tension,77ed539b-50a0-4ab2-9786-d6eaf4824cad,afternoon slump at work around 3pm,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.2,0.2,25,False,False,
1,early,surface_tension,77ed539b-50a0-4ab2-9786-d6eaf4824cad,afternoon slump at work around 3pm,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.2,0.2,25,False,False,
1,early,surface_tension,77ed539b-50a0-4ab2-9786-d6eaf4824cad,afternoon slump at work around 3pm,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,0.2,0.2,25,False,False,
1,early,surface_tension,77ed539b-50a0-4ab2-9786-d6eaf4824cad,afternoon slump at work around 3pm,response.semantic.llm.certainty.mid,True,0.2,0.2,1.0,0.0,0.2,0.2,25,False,False,
1,early,surface_tension,77ed539b-50a0-4ab2-9786-d6eaf4824cad,afternoon slump at work around 3pm,interview.strategy.self_count,0.0,-1.0,-0.0,1.0,0.0,0.2,0.2,25,False,False,
1,early,surface_tension,3d7ee457-235f-4fda-a45f-0039145499ec,at work during the afternoon,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.2,0.2,26,False,False,
1,early,surface_tension,3d7ee457-235f-4fda-a45f-0039145499ec,at work during the afternoon,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.2,0.2,26,False,False,
1,early,surface_tension,3d7ee457-235f-4fda-a45f-0039145499ec,at work during the afternoon,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,0.2,0.2,26,False,False,
1,early,surface_tension,3d7ee457-235f-4fda-a45f-0039145499ec,at work during the afternoon,response.semantic.llm.certainty.mid,True,0.2,0.2,1.0,0.0,0.2,0.2,26,False,False,
1,early,surface_tension,3d7ee457-235f-4fda-a45f-0039145499ec,at work during the afternoon,interview.strategy.self_count,0.0,-1.0,-0.0,1.0,0.0,0.2,0.2,26,False,False,
1,early,surface_tension,d19e1681-7b2c-4a24-b03a-654a8b0e8005,avoid having coffee again,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.2,0.2,27,False,False,
1,early,surface_tension,d19e1681-7b2c-4a24-b03a-654a8b0e8005,avoid having coffee again,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.2,0.2,27,False,False,
1,early,surface_tension,d19e1681-7b2c-4a24-b03a-654a8b0e8005,avoid having coffee again,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,0.2,0.2,27,False,False,
1,early,surface_tension,d19e1681-7b2c-4a24-b03a-654a8b0e8005,avoid having coffee again,response.semantic.llm.certainty.mid,True,0.2,0.2,1.0,0.0,0.2,0.2,27,False,False,
1,early,surface_tension,d19e1681-7b2c-4a24-b03a-654a8b0e8005,avoid having coffee again,interview.strategy.self_count,0.0,-1.0,-0.0,1.0,0.0,0.2,0.2,27,False,False,
1,early,surface_tension,873396f9-d0e1-49f8-bf0d-c9e7cda7659e,grabbing whatever is available in the break room,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.2,0.2,28,False,False,
1,early,surface_tension,873396f9-d0e1-49f8-bf0d-c9e7cda7659e,grabbing whatever is available in the break room,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.2,0.2,28,False,False,
1,early,surface_tension,873396f9-d0e1-49f8-bf0d-c9e7cda7659e,grabbing whatever is available in the break room,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,0.2,0.2,28,False,False,
