session_id,log_file,turn_number,is_cold_start,total_latency_ms,concept_id,persona_id,methodology,ContextLoadingStage,UtteranceSavingStage,SRLPreprocessingStage,ExtractionStage,GraphUpdateStage,SlotDiscoveryStage,StateComputationStage,StrategySelectionStage,ContinuationStage,QuestionGenerationStage,ResponseSavingStage,ScoringPersistenceStage
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,1,True,47911.0,plant_milk_comparison_rg,baseline_cooperative,repertory_grid_v2,3.3,13.14,1632.44,24228.77,6776.7,4813.42,2.84,9418.13,0.18,1006.31,4.33,10.62
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,2,False,33610.0,plant_milk_comparison_rg,baseline_cooperative,repertory_grid_v2,5.55,2.46,8.72,21498.44,182.44,4584.32,3.54,6358.71,0.2,942.62,11.85,10.69
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,3,False,18848.0,plant_milk_comparison_rg,baseline_cooperative,repertory_grid_v2,6.49,10.48,15.56,9702.29,75.14,3297.48,3.22,4210.06,0.13,1511.05,4.56,10.4
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,4,False,25474.0,plant_milk_comparison_rg,baseline_cooperative,repertory_grid_v2,5.67,12.16,7.55,16516.54,84.0,3540.6,3.44,4489.73,0.16,792.52,10.24,10.67
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,5,False,25769.0,plant_milk_comparison_rg,baseline_cooperative,repertory_grid_v2,5.68,13.1,8.96,13035.71,73.66,4249.69,3.63,5708.88,0.3,2641.27,13.14,14.4
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,6,False,40969.0,plant_milk_comparison_rg,baseline_cooperative,repertory_grid_v2,5.28,13.34,8.57,19346.1,85.35,8758.7,4.0,9473.24,0.15,3250.74,13.99,8.79
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,7,False,30085.0,plant_milk_comparison_rg,baseline_cooperative,repertory_grid_v2,6.72,11.61,10.93,18885.71,85.84,3992.1,4.01,5169.77,0.15,1896.32,12.11,8.78
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,8,False,41181.0,plant_milk_comparison_rg,baseline_cooperative,repertory_grid_v2,6.01,11.68,8.16,14619.18,68.54,4130.04,4.42,21232.76,0.14,1071.69,16.33,11.27
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,9,False,28975.0,plant_milk_comparison_rg,baseline_cooperative,repertory_grid_v2,5.73,4.07,9.66,16843.25,101.97,4779.11,4.96,5955.46,0.18,1246.11,12.51,11.23
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,1,True,41464.0,coffee_subscription_cjm,baseline_cooperative,customer_journey_mapping_v2,4.04,4.82,1801.18,20147.8,6335.13,5011.96,2.96,7217.78,0.19,912.77,14.04,10.53
