session_id,log_file,turn_number,is_cold_start,client_type,model,provider,input_tokens,output_tokens,latency_ms
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,0,False,question_generation,claude-haiku-4-5,anthropic,358,61,1350.29
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,0,False,question_generation,claude-haiku-4-5,anthropic,852,77,1651.09
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,1,True,extraction,claude-sonnet-4-6,anthropic,3308,2054,24226.42
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,1,True,slot_scoring,claude-haiku-4-5,anthropic,1328,662,3898.04
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,1,True,signal_scoring,claude-haiku-4-5,anthropic,2798,1024,9379.09
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,1,True,question_generation,claude-haiku-4-5,anthropic,1635,27,1005.71
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,1,True,question_generation,claude-haiku-4-5,anthropic,699,66,2046.48
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,2,False,extraction,claude-sonnet-4-6,anthropic,3592,1882,21496.64
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,2,False,slot_scoring,claude-haiku-4-5,anthropic,1446,673,4287.62
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,2,False,signal_scoring,claude-haiku-4-5,anthropic,2668,721,6352.55
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,2,False,question_generation,claude-haiku-4-5,anthropic,1672,22,941.57
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,2,False,question_generation,claude-haiku-4-5,anthropic,694,42,1102.43
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,3,False,extraction,claude-sonnet-4-6,anthropic,3629,931,9701.15
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,3,False,slot_scoring,claude-haiku-4-5,anthropic,1140,358,3182.09
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,3,False,signal_scoring,claude-haiku-4-5,anthropic,2553,373,4203.82
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,3,False,question_generation,claude-haiku-4-5,anthropic,1683,19,1510.08
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,3,False,question_generation,claude-haiku-4-5,anthropic,691,47,1881.8
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,4,False,extraction,claude-sonnet-4-6,anthropic,3711,1255,16515.73
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,4,False,slot_scoring,claude-haiku-4-5,anthropic,1398,511,3381.57
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,4,False,signal_scoring,claude-haiku-4-5,anthropic,2580,404,4483.42
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,4,False,question_generation,claude-haiku-4-5,anthropic,1641,35,792.03
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,4,False,question_generation,claude-haiku-4-5,anthropic,707,60,1681.54
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,5,False,extraction,claude-sonnet-4-6,anthropic,3726,1200,13034.85
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,5,False,slot_scoring,claude-haiku-4-5,anthropic,1543,598,4056.63
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,5,False,signal_scoring,claude-haiku-4-5,anthropic,2622,586,5698.51
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,5,False,question_generation,claude-haiku-4-5,anthropic,1654,23,2640.51
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,5,False,question_generation,claude-haiku-4-5,anthropic,695,60,1723.81
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,6,False,extraction,claude-sonnet-4-6,anthropic,3812,1437,19345.07
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,6,False,slot_scoring,claude-haiku-4-5,anthropic,1485,681,8537.28
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,6,False,signal_scoring,claude-haiku-4-5,anthropic,2672,570,9468.72
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,6,False,question_generation,claude-haiku-4-5,anthropic,1684,32,3250.15
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,6,False,question_generation,claude-haiku-4-5,anthropic,823,64,9102.66
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,7,False,extraction,claude-sonnet-4-6,anthropic,3728,1339,18876.05
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,7,False,slot_scoring,claude-haiku-4-5,anthropic,1547,591,3790.14
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,7,False,signal_scoring,claude-haiku-4-5,anthropic,2613,514,5164.68
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,7,False,question_generation,claude-haiku-4-5,anthropic,1678,28,1895.85
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,7,False,question_generation,claude-haiku-4-5,anthropic,700,64,1408.3
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,8,False,extraction,claude-sonnet-4-6,anthropic,3822,1283,14618.33
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,8,False,slot_scoring,claude-haiku-4-5,anthropic,1551,617,3983.77
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,8,False,signal_scoring,claude-haiku-4-5,anthropic,2676,495,21228.12
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,8,False,question_generation,claude-haiku-4-5,anthropic,1687,38,1071.07
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,8,False,question_generation,claude-haiku-4-5,anthropic,710,65,2384.12
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,9,False,extraction,claude-sonnet-4-6,anthropic,3873,1674,16841.79
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,9,False,slot_scoring,claude-haiku-4-5,anthropic,1547,732,4534.3
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,9,False,signal_scoring,claude-haiku-4-5,anthropic,2715,695,5950.45
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,9,False,question_generation,claude-haiku-4-5,anthropic,1695,55,1245.35
8f7ac2d9-7a19-40c5-ad16-199eb1190287,interview_20260417_133057.log,9,False,question_generation,claude-haiku-4-5,anthropic,846,77,1611.27
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,0,False,question_generation,claude-haiku-4-5,anthropic,371,69,1417.81
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,0,False,question_generation,claude-haiku-4-5,anthropic,738,78,1798.96
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,1,True,extraction,claude-sonnet-4-6,anthropic,3390,1776,20145.97
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,1,True,slot_scoring,claude-haiku-4-5,anthropic,1459,663,4070.2
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,1,True,signal_scoring,claude-haiku-4-5,anthropic,2680,818,7183.39
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,1,True,question_generation,claude-haiku-4-5,anthropic,1651,22,912.17
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,1,True,question_generation,claude-haiku-4-5,anthropic,691,92,2625.35
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,2,False,extraction,claude-sonnet-4-6,anthropic,3667,1361,14876.72
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,2,False,slot_scoring,claude-haiku-4-5,anthropic,1310,478,3545.46
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,2,False,signal_scoring,claude-haiku-4-5,anthropic,2615,493,5567.22
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,2,False,question_generation,claude-haiku-4-5,anthropic,1710,30,1017.15
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,2,False,question_generation,claude-haiku-4-5,anthropic,699,109,2445.24
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,3,False,extraction,claude-sonnet-4-6,anthropic,3986,1632,21244.61
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,3,False,slot_scoring,claude-haiku-4-5,anthropic,1587,655,4502.45
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,3,False,signal_scoring,claude-haiku-4-5,anthropic,2703,568,5548.6
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,3,False,question_generation,claude-haiku-4-5,anthropic,1772,29,1305.18
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,3,False,question_generation,claude-haiku-4-5,anthropic,698,64,1859.19
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,4,False,extraction,claude-sonnet-4-6,anthropic,3909,907,12271.18
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,4,False,slot_scoring,claude-haiku-4-5,anthropic,1096,309,2282.23
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,4,False,signal_scoring,claude-haiku-4-5,anthropic,2554,326,3338.66
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,4,False,question_generation,claude-haiku-4-5,anthropic,1775,27,958.47
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,4,False,question_generation,claude-haiku-4-5,anthropic,815,80,1775.42
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,5,False,extraction,claude-sonnet-4-6,anthropic,3957,1340,18295.08
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,5,False,slot_scoring,claude-haiku-4-5,anthropic,1481,498,3133.11
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,5,False,signal_scoring,claude-haiku-4-5,anthropic,2635,528,5273.81
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,5,False,question_generation,claude-haiku-4-5,anthropic,1764,27,1181.57
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,5,False,question_generation,claude-haiku-4-5,anthropic,696,65,1835.34
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,6,False,extraction,claude-sonnet-4-6,anthropic,3885,924,10581.18
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,6,False,slot_scoring,claude-haiku-4-5,anthropic,1250,340,2566.62
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,6,False,signal_scoring,claude-haiku-4-5,anthropic,2570,285,2922.61
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,6,False,question_generation,claude-haiku-4-5,anthropic,1716,30,898.62
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,6,False,question_generation,claude-haiku-4-5,anthropic,699,63,1309.1
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,7,False,extraction,claude-sonnet-4-6,anthropic,3934,892,10602.63
