turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,early,surface_tension,fc96b245-6490-4d15-8ac3-beaa653db7c2,afternoon slump at work,response.semantic.llm.certainty.low,False,0.8,0.0,1.0,0.0,0.4,0.4,56,False,False,
1,early,surface_tension,fc96b245-6490-4d15-8ac3-beaa653db7c2,afternoon slump at work,response.semantic.llm.certainty.mid,True,0.4,0.4,1.0,0.0,0.4,0.4,56,False,False,
1,early,surface_tension,fc96b245-6490-4d15-8ac3-beaa653db7c2,afternoon slump at work,interview.strategy.self_count,0.0,-0.3,-0.0,1.0,0.0,0.4,0.4,56,False,False,
1,early,surface_tension,e125f1ed-2bbb-4069-b86f-fe3c4c0adb7d,working at the office in the afternoon,response.semantic.llm.certainty.low,False,0.8,0.0,1.0,0.0,0.4,0.4,57,False,False,
1,early,surface_tension,e125f1ed-2bbb-4069-b86f-fe3c4c0adb7d,working at the office in the afternoon,response.semantic.llm.certainty.mid,True,0.4,0.4,1.0,0.0,0.4,0.4,57,False,False,
1,early,surface_tension,e125f1ed-2bbb-4069-b86f-fe3c4c0adb7d,working at the office in the afternoon,interview.strategy.self_count,0.0,-0.3,-0.0,1.0,0.0,0.4,0.4,57,False,False,
1,early,surface_tension,8c461176-3726-4972-aeb7-6989c2c3a0ee,feeling totally drained and needing energy to finish the day,response.semantic.llm.certainty.low,False,0.8,0.0,1.0,0.0,0.4,0.4,58,False,False,
1,early,surface_tension,8c461176-3726-4972-aeb7-6989c2c3a0ee,feeling totally drained and needing energy to finish the day,response.semantic.llm.certainty.mid,True,0.4,0.4,1.0,0.0,0.4,0.4,58,False,False,
1,early,surface_tension,8c461176-3726-4972-aeb7-6989c2c3a0ee,feeling totally drained and needing energy to finish the day,interview.strategy.self_count,0.0,-0.3,-0.0,1.0,0.0,0.4,0.4,58,False,False,
1,early,surface_tension,fe9255ea-383d-42f8-9da2-496bc03b0614,get an energy boost to push through the rest of the workday,response.semantic.llm.certainty.low,False,0.8,0.0,1.0,0.0,0.4,0.4,59,False,False,
1,early,surface_tension,fe9255ea-383d-42f8-9da2-496bc03b0614,get an energy boost to push through the rest of the workday,response.semantic.llm.certainty.mid,True,0.4,0.4,1.0,0.0,0.4,0.4,59,False,False,
1,early,surface_tension,fe9255ea-383d-42f8-9da2-496bc03b0614,get an energy boost to push through the rest of the workday,interview.strategy.self_count,0.0,-0.3,-0.0,1.0,0.0,0.4,0.4,59,False,False,
1,early,surface_tension,c23de930-57b2-4fff-831c-f67e927207dc,preferred drink option unavailable,response.semantic.llm.certainty.low,False,0.8,0.0,1.0,0.0,0.4,0.4,60,False,False,
1,early,surface_tension,c23de930-57b2-4fff-831c-f67e927207dc,preferred drink option unavailable,response.semantic.llm.certainty.mid,True,0.4,0.4,1.0,0.0,0.4,0.4,60,False,False,
1,early,surface_tension,c23de930-57b2-4fff-831c-f67e927207dc,preferred drink option unavailable,interview.strategy.self_count,0.0,-0.3,-0.0,1.0,0.0,0.4,0.4,60,False,False,
1,early,surface_tension,50e6f4d4-4e1e-40db-becf-a19ff6959e4f,grabbing a Coke from the vending machine,response.semantic.llm.certainty.low,False,0.8,0.0,1.0,0.0,0.4,0.4,61,False,False,
1,early,surface_tension,50e6f4d4-4e1e-40db-becf-a19ff6959e4f,grabbing a Coke from the vending machine,response.semantic.llm.certainty.mid,True,0.4,0.4,1.0,0.0,0.4,0.4,61,False,False,
1,early,surface_tension,50e6f4d4-4e1e-40db-becf-a19ff6959e4f,grabbing a Coke from the vending machine,interview.strategy.self_count,0.0,-0.3,-0.0,1.0,0.0,0.4,0.4,61,False,False,
