turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,early,surface_tension,4967b8e6-5171-4e7d-9678-672b2c23644b,grocery shopping trip,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.0,0.0,26,False,False,
1,early,surface_tension,4967b8e6-5171-4e7d-9678-672b2c23644b,grocery shopping trip,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.0,0.0,26,False,False,
1,early,surface_tension,4967b8e6-5171-4e7d-9678-672b2c23644b,grocery shopping trip,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,0.0,0.0,26,False,False,
1,early,surface_tension,4967b8e6-5171-4e7d-9678-672b2c23644b,grocery shopping trip,response.semantic.llm.certainty.mid,False,0.2,0.0,1.0,0.0,0.0,0.0,26,False,False,
1,early,surface_tension,4967b8e6-5171-4e7d-9678-672b2c23644b,grocery shopping trip,interview.strategy.self_count,0.0,-1.0,-0.0,1.0,0.0,0.0,0.0,26,False,False,
1,early,surface_tension,2be98cac-4399-40d7-a355-65b926fa88cb,trying to cut back on sugar,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.0,0.0,27,False,False,
1,early,surface_tension,2be98cac-4399-40d7-a355-65b926fa88cb,trying to cut back on sugar,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.0,0.0,27,False,False,
1,early,surface_tension,2be98cac-4399-40d7-a355-65b926fa88cb,trying to cut back on sugar,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,0.0,0.0,27,False,False,
1,early,surface_tension,2be98cac-4399-40d7-a355-65b926fa88cb,trying to cut back on sugar,response.semantic.llm.certainty.mid,False,0.2,0.0,1.0,0.0,0.0,0.0,27,False,False,
1,early,surface_tension,2be98cac-4399-40d7-a355-65b926fa88cb,trying to cut back on sugar,interview.strategy.self_count,0.0,-1.0,-0.0,1.0,0.0,0.0,0.0,27,False,False,
