turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,early,surface_tension,2d5d0636-5ea3-4b18-90ee-712f20f56196,mid-afternoon while working,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,-0.3,-0.3,25,False,False,
1,early,surface_tension,2d5d0636-5ea3-4b18-90ee-712f20f56196,mid-afternoon while working,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,-0.3,-0.3,25,False,False,
1,early,surface_tension,2d5d0636-5ea3-4b18-90ee-712f20f56196,mid-afternoon while working,convgraph.node.llm.charge.negative,False,0.25,0.0,1.0,0.0,-0.3,-0.3,25,False,False,
1,early,surface_tension,2d5d0636-5ea3-4b18-90ee-712f20f56196,mid-afternoon while working,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,-0.3,-0.3,25,False,False,
1,early,surface_tension,2d5d0636-5ea3-4b18-90ee-712f20f56196,mid-afternoon while working,response.semantic.llm.certainty.mid,False,0.2,0.0,1.0,0.0,-0.3,-0.3,25,False,False,
1,early,surface_tension,2d5d0636-5ea3-4b18-90ee-712f20f56196,mid-afternoon while working,interview.strategy.self_count,0.0,-1.0,-0.0,1.0,0.0,-0.3,-0.3,25,False,False,
1,early,surface_tension,2d5d0636-5ea3-4b18-90ee-712f20f56196,mid-afternoon while working,meta.saturation.canonical.high,True,-0.3,-0.3,1.0,0.0,-0.3,-0.3,25,False,False,
1,early,surface_tension,c099ee6f-7e3f-49d8-9018-fb62b162ab07,feeling tired during the workday,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,-0.05,-0.05,22,False,False,
1,early,surface_tension,c099ee6f-7e3f-49d8-9018-fb62b162ab07,feeling tired during the workday,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,-0.05,-0.05,22,False,False,
1,early,surface_tension,c099ee6f-7e3f-49d8-9018-fb62b162ab07,feeling tired during the workday,convgraph.node.llm.charge.negative,True,0.25,0.25,1.0,0.0,-0.05,-0.05,22,False,False,
