turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,early,ascend,99e96d8d-a5c2-454b-a469-873ef173dd3c,faster satiety onset,(gated),,,0,1.0,0.0,0.0,0.0,5,False,True,convgraph.node.chain.gap.above
1,early,ascend,6818e268-fa66-4657-b83a-885db393c928,reduced food intake,(gated),,,0,1.0,0.0,0.0,0.0,5,False,True,convgraph.node.chain.gap.above
1,early,ascend,54e8fa39-3631-4435-ac9b-0b4fe0b2a008,reduced cravings for previously desired foods,(gated),,,0,1.0,0.0,0.0,0.0,5,False,True,convgraph.node.chain.gap.above
1,early,ascend,731192ba-36f1-484a-8150-7e45408c97fd,feeling freed from food urges,(gated),,,0,1.0,0.0,0.0,0.0,5,False,True,convgraph.node.chain.gap.above
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,convgraph.node.chain.gap.above.true,True,0.25,0.25,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,convgraph.node.chain.fan_in,0,0.033,0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,convgraph.node.recency,0.0,0.15,0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,convgraph.node.exhaustion,0.0,-0.8,-0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,convgraph.node.focus.count.high,False,-0.4,0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,convgraph.node.focus.count.medium,False,-0.4,0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,convgraph.node.llm.elaboration.high,False,0.4,0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,convgraph.node.llm.charge.positive,False,0.1,0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,response.semantic.llm.engagement.low,False,-0.3,0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,response.semantic.llm.frame_resistance.true,False,-1.2,0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,interview.strategy.self_count,0.0,-1.5,-0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,interview.strategy.self_count.high,False,-1.0,0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,convgraph.node.chain.has_origin_level_ancestor.true,False,0.2,0.0,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ascend,05ebad0b-c56e-46a4-9ae5-b95f88ef613f,disorientation from changed relationship with food,convgraph.node.chain.has_origin_level_ancestor.false,True,-0.5,-0.5,1.0,0.0,-0.25,-0.25,3,False,False,
1,early,ground,99e96d8d-a5c2-454b-a469-873ef173dd3c,faster satiety onset,convgraph.node.chain.gap.below.true,True,0.3,0.3,1.4,0.0,0.55,0.77,1,True,False,
1,early,ground,99e96d8d-a5c2-454b-a469-873ef173dd3c,faster satiety onset,convgraph.node.recency,0.0,0.25,0.0,1.4,0.0,0.55,0.77,1,True,False,
1,early,ground,99e96d8d-a5c2-454b-a469-873ef173dd3c,faster satiety onset,convgraph.node.exhaustion,0.0,-0.4,-0.0,1.4,0.0,0.55,0.77,1,True,False,
1,early,ground,99e96d8d-a5c2-454b-a469-873ef173dd3c,faster satiety onset,convgraph.node.llm.elaboration.high,False,0.05,0.0,1.4,0.0,0.55,0.77,1,True,False,
1,early,ground,99e96d8d-a5c2-454b-a469-873ef173dd3c,faster satiety onset,response.semantic.llm.frame_resistance.true,False,-0.8,0.0,1.4,0.0,0.55,0.77,1,True,False,
1,early,ground,99e96d8d-a5c2-454b-a469-873ef173dd3c,faster satiety onset,interview.strategy.self_count,0.0,-0.4,-0.0,1.4,0.0,0.55,0.77,1,True,False,
1,early,ground,99e96d8d-a5c2-454b-a469-873ef173dd3c,faster satiety onset,convgraph.node.chain.has_origin_level_ancestor.false,True,0.25,0.25,1.4,0.0,0.55,0.77,1,True,False,
1,early,ground,99e96d8d-a5c2-454b-a469-873ef173dd3c,faster satiety onset,convgraph.node.chain.has_origin_level_ancestor.true,False,-0.2,0.0,1.4,0.0,0.55,0.77,1,True,False,
1,early,ground,99e96d8d-a5c2-454b-a469-873ef173dd3c,faster satiety onset,meta.saturation.conversation.high,False,-0.4,0.0,1.4,0.0,0.55,0.77,1,True,False,
1,early,ground,99e96d8d-a5c2-454b-a469-873ef173dd3c,faster satiety onset,meta.saturation.canonical.high,False,-0.3,0.0,1.4,0.0,0.55,0.77,1,True,False,
